2026-07-06 20:21:27,562 | INFO | jobs.job_raw | creating DataFrame for Robusta data from path: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 20:21:27,563 | INFO | readers | Reading Excel file: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 20:21:29,048 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/cepea//robusta_cepa.parquet
2026-07-06 20:21:29,048 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/cepea//robusta_cepa.parquet
2026-07-06 20:21:29,141 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 20:24:25,368 | INFO | spark_session | Creating Spark session
2026-07-06 20:24:32,873 | INFO | jobs.job_raw | creating DataFrame for Robusta data from path: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 20:24:32,873 | INFO | readers | Reading Excel file: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 20:24:33,450 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 20:24:53,310 | INFO | spark_session | Creating Spark session
2026-07-06 20:25:00,263 | INFO | jobs.job_raw | creating DataFrame for Robusta data from path: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 20:25:00,263 | INFO | readers | Reading Excel file: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 20:25:01,684 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/cepea//robusta_cepa.parquet
2026-07-06 20:25:01,684 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/cepea//robusta_cepa.parquet
2026-07-06 20:25:01,782 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 20:27:56,596 | INFO | spark_session | Creating Spark session
2026-07-06 20:28:04,008 | INFO | jobs.job_raw | creating DataFrame for Robusta data from path: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 20:28:04,008 | INFO | readers | Reading Excel file: ../storage/raw/ROBUSTA_CEPEA_20260706165657.xls
2026-07-06 20:28:05,467 | INFO | jobs.job_raw | Writing DataFrame to Parquet at: ../storage/bronze/cepea//robusta_cepa.parquet
2026-07-06 20:28:05,467 | INFO | pipeline | Writing DataFrame to Parquet at: ../storage/bronze/cepea//robusta_cepa.parquet
2026-07-06 20:28:05,564 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 20:28:09,000 | INFO | spark_session | Creating Spark session
