2026-07-09 22:02:42,978 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-09 22:02:43,720 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 22:12:44,795 | INFO | app.src.run | Starting pipeline...
2026-07-09 22:12:44,795 | INFO | app.src.utils.spark_session | Creating Spark session
2026-07-09 22:12:53,644 | INFO | app.src.jobs.job_silver | Starting Silver Process...
2026-07-09 22:12:53,644 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/bronze/bcb/ipca/serie_433.parquet
2026-07-09 22:12:57,312 | INFO | app.src.pipeline.manager | Writing parquet dataset: /home/ivan/Documentos/Labs/Culltivo/storage/silver/bcb/ipca/serie_433.parquet
2026-07-09 22:13:01,290 | INFO | app.src.jobs.job_silver | Silver dataset successfully created: ipca
2026-07-09 22:13:01,294 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/bronze/bcb/selic/serie_11.parquet
2026-07-09 22:13:01,563 | INFO | app.src.pipeline.manager | Writing parquet dataset: /home/ivan/Documentos/Labs/Culltivo/storage/silver/bcb/selic/serie_11.parquet
2026-07-09 22:13:05,133 | INFO | app.src.jobs.job_silver | Silver dataset successfully created: selic
2026-07-09 22:13:05,134 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/bronze/cepea/robusta/robusta_cepea.parquet
2026-07-09 22:13:05,529 | INFO | app.src.pipeline.manager | Writing parquet dataset: /home/ivan/Documentos/Labs/Culltivo/storage/silver/cepea/robusta/robusta_cepea.parquet
2026-07-09 22:13:32,530 | INFO | app.src.jobs.job_silver | Silver dataset successfully created: robusta
2026-07-09 22:13:32,531 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/bronze/cepea/arabica/arabica_cepa.parquet
2026-07-09 22:13:32,915 | INFO | app.src.pipeline.manager | Writing parquet dataset: /home/ivan/Documentos/Labs/Culltivo/storage/silver/cepea/arabica/arabica_cepa.parquet
2026-07-09 22:14:04,781 | INFO | app.src.jobs.job_silver | Silver dataset successfully created: arabica
2026-07-09 22:14:04,783 | INFO | app.src.pipeline.manager | Reading dataset: /home/ivan/Documentos/Labs/Culltivo/storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-09 22:14:05,437 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 22:14:15,598 | INFO | app.src.run | Starting pipeline...
2026-07-09 22:14:15,598 | INFO | app.src.utils.spark_session | Creating Spark session
2026-07-09 22:14:24,511 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-09 22:20:32,058 | INFO | app.src.run | Starting pipeline...
2026-07-09 22:20:32,058 | INFO | app.src.utils.spark_session | Creating Spark session
